Country,AGB_Change,AGB_Change_Grow,AGB_Change_HT,AGB_Change_RES,AGB_Change_SLR
Indonesia,-178.7919792089701,65.08622647173408,41.95010205849111,10.72395700953428,-296.5522647487296
Mexico,-79.82578855985325,14.547259837422413,-32.09126690492805,0.3019332450526249,-62.58371473740024
Nigeria,-34.21919648905802,15.253863945911306,29.68147865661933,0.10287468487313703,-79.25741377646179
Philippines,-20.096525133477904,4.485222989489245,1.982799917173146,0.5860266155793358,-27.150574655719627
Venezuela,-17.25757843074483,9.41327237767734,-9.074136062933643,0.03726170141464073,-17.63397644690316
Colombia,-17.038925803388164,6.8867351770801335,-10.833840719992283,0.33959393360157375,-13.431414194077592
Cuba,-15.811791996532394,5.621964127275665,-5.325034955110222,0.0212882761522239,-16.13000944485006
Malaysia,-15.044457199490845,8.7425959469212,30.35665510877763,1.0411546984782172,-55.184862953667896
India,-13.588608369618887,2.654072845532654,2.696722719557303,0.7745517059367418,-19.713955640645587
Bangladesh,-11.357545414723807,6.1988393883484605,0.8795435071128235,0.9189396974921964,-19.35486800767729
Solomon Islands,-10.860437721337632,2.4522868631888155,-2.343970543927118,0.01084828770997668,-10.979602328309307
Thailand,-7.325253410925575,4.323624373015114,6.585376160110897,0.5046870136892838,-18.73894095774087
Fiji,-6.9779208560028625,1.436727833024497,0.868441589500775,0.0006789144014675345,-9.283769192929602
Cameroon,-6.732410052305248,3.8380968094824124,5.774410733631033,0.041715676463395704,-16.386633271882086
Sierra Leone,-6.480112553805946,2.171560637565564,3.769972179698025,0.1808283572424763,-12.602473728312011
Senegal,-5.018720675304631,-0.07991918241532467,1.5887935373494173,0.01109675021684514,-6.538691780455569
Cambodia,-4.97290023341,1.3052666637744228,-0.6343930309959387,0.027496316047009278,-5.671270182235492
United States,-3.677929433618781,3.6750101677472315,-3.1962968418980426,0.16630855394221453,-4.322951313410185
Belize,-3.2326563505373427,1.0526237835359242,-1.2249301366424343,0.005997837778420385,-3.066347835209253
Honduras,-3.078118942198054,1.7527268346494909,-2.1585152402796313,0.1586623128855786,-2.8309928494534926
Gambia,-2.6934396761921158,0.39232327755461494,-0.22696151236310871,0.019689086569220724,-2.8784905279528425
Nicaragua,-2.63615725442124,1.3568559793935024,0.1581273761493355,0.08156964844133373,-4.232710258405412
Bahamas,-2.0985931303920498,0.04235796743431315,0.18311258641223319,0.00461329797684221,-2.3286769822154385
Mozambique,-2.0368121547767886,3.0629956003458716,-2.998310322053702,0.7296150400577195,-2.831112473126677
New Caledonia,-1.989474818383097,0.4188137757687344,0.4554492912889371,0.0,-2.8637378854407687
Palau,-1.740222675616376,0.2748926494194818,-0.13602959349245092,0.0,-1.8790857315434069
Pakistan,-1.0416214571804079,0.10581385805115173,0.7152840879570366,0.7898982190598632,-2.652617622248459
Dominican Rep,-1.012044429861466,0.4911793329809994,-1.2110923968551643,0.019283161979356693,-0.3114145279666577
"Congo, Dem Rep",-0.850740626477315,0.7301532813490698,0.17382468835765938,0.0,-1.7547185961840441
United Kingdom,-0.7164417609918085,0.21067197494995465,-0.37744958805325274,0.02395123398510553,-0.5736153818736159
Haiti,-0.6172587464870705,0.10878665673692477,-0.44906243601912255,0.009554236587053039,-0.28653720379192577
Liberia,-0.6021267675693898,0.3176661745383112,-0.07214932770512048,0.008489885782959715,-0.8561335001855402
Kenya,-0.5837845626949867,1.026958097963361,-0.23275126583637928,0.07694413843236887,-1.4549355332543374
Ghana,-0.5764113915240047,-0.024251235613063065,0.017678439816436478,0.004535149051614113,-0.5743737447789923
Jamaica,-0.5479049480537269,0.1771551996510271,-0.44759710218601084,0.0017749429639059985,-0.27923798848264914
Sri Lanka,-0.4926480776396779,0.15052374958666687,-0.10195444900167969,0.032571500741654956,-0.57378887896632
Puerto Rico,-0.4346593834832879,0.07516073350714617,-0.2500276581931832,0.0007964391562313835,-0.2605888979534823
Guadeloupe,-0.39355837911529123,0.07455486556888603,-0.30262118156755335,0.0006952512121188438,-0.16618731432874279
El Salvador,-0.3523928508631846,1.091459802795912,0.36927394431914473,0.038060904248869945,-1.8511875022271114
Peru,-0.21762330909107536,0.12323625265884809,0.09331081735965828,0.0586796596588282,-0.4928500387684099
Vanuatu,-0.20912359430029542,0.05082643511450985,0.0020403977973239115,8.816256927109305e-05,-0.2620785897814003
"Micronesia, Fed States",-0.19657222696000445,0.16716696311760013,-0.15119872735144932,0.010479770918347137,-0.2230202336445024
Equatorial Guinea,-0.16711154748638987,0.8081050191045249,-0.6452043470977986,0.0032344599219236484,-0.3332466794150398
New Zealand,-0.16300522515636762,0.1291022898199817,0.2505311695010482,0.02673291793268905,-0.5693716024100866
Martinique,-0.15265512435420864,0.060830183698344274,-0.2151500897337956,0.0016647816812426638,0.0
"Iran, Islamic Rep",-0.1500672742044234,-0.004835349707283124,-0.042766236984563964,0.04416428546940381,-0.1466299729819801
Somalia,-0.11165241366364957,0.019881960160230753,-0.04691838213022237,0.0046002442921916475,-0.0892162359858496
Benin,-0.1095557046154475,-0.006782352543972691,-0.01302042661668964,0.001776916846603642,-0.09152984230138883
United Arab Emirates,-0.0883408032307588,-0.0021866272431974036,0.010318590132878135,0.003269691803047121,-0.09974245792348665
Saudi Arabia,-0.08004447045081255,-0.0007774823808762842,-0.01537951856975783,0.004742924295010286,-0.06863039379518872
Cote d'Ivoire,-0.058764421601767446,0.1221160554825595,0.10487695021507887,0.015180060854015017,-0.3009374881534208
Tonga,-0.05236614390259886,0.0,0.03092328905847485,0.0,-0.0832894329610737
Antigua and Barbuda,-0.0503553358081566,0.0018645424319073227,-0.02426359633874934,0.0,-0.027956281901314585
Eritrea,-0.03728002071011924,0.0009759237121305703,0.011296374949275047,0.001047844052086565,-0.05060016342361143
Hong Kong,-0.0304187584759086,0.0045651241081014525,-0.012034034069260765,5.627781079065622e-05,-0.023006126325539944
Mauritania,-0.029854924018440133,0.0,0.0024830421476272667,6.051927025275777e-06,-0.032344018093092675
Djibouti,-0.025208044816042174,-0.0006649265621680679,-0.0042134634849167905,0.0017449383542439134,-0.022074593123201227
Samoa,-0.017822077667117565,0.0,0.004372889627951956,0.0,-0.022194967295069517
"Virgin Islands, U.S.",-0.014363670952977737,0.00012243712950416112,-0.007603896720799697,6.973835719962512e-05,-0.006951949718881828
Singapore,-0.01307439968020214,0.0016715724908892456,0.007085217083523989,7.253797384717306e-05,-0.021903727228462545
Qatar,-0.011784099704724786,-4.1459000709249835e-05,-0.004879589496609684,4.790641961203968e-06,-0.006867841849367056
East Timor,-0.010155774693635431,0.013530736061399231,0.011550015112672547,0.001653264112283985,-0.036889789979991185
Sudan,-0.010135977369005723,-0.00021876685509633156,0.0002985699336188409,3.432463896186824e-05,-0.0102501050864901
Netherlands Antilles,-0.009189093555968298,0.001008670903432178,-0.010838928521846264,0.0006411640624457889,0.0
St. Lucia,-0.00865342506924355,4.516788981464561e-05,-0.008719591753808603,2.0998794750409368e-05,0.0
Yemen,-0.008609251463604205,-0.000207352615102545,0.012364162534292147,8.472875497493059e-05,-0.02085079013776874
Seychelles,-0.007311789595579504,0.0035842135770311105,0.00016827286773751348,0.0,-0.011064276040348129
"Taiwan, Province of Chi",-0.006959359635996856,0.0007952490817578148,-0.0015450059136840615,0.0007355057117299736,-0.006945108515800583
China,-0.005982849180252395,0.1427983153996735,0.20294471584316065,0.16808091351384397,-0.5198067939369305
Grenada,-0.005646231810296488,0.0029261232100507104,-0.0087830334760138,0.0002106784556665998,0.0
Oman,-0.005074650635840347,-0.0001590548482962987,-0.0022875247303613747,0.00027590526597288115,-0.0029039763231555557
France,-0.0035684437089742154,0.007604100719744226,-0.009748772685537588,0.0004709182005197027,-0.0018946899437005493
Marshall Islands,-0.0026620876292340724,0.0,-0.0022093109712688925,0.0,-0.0004527766579651795
Bermuda,-0.0026579774549584517,9.61760365572718e-05,-3.0481019720845323e-05,0.0,-0.0027236724717948782
Trinidad and Tobago,-0.00261591526107564,0.25096016337330657,-0.19655650435770267,0.028034274546717832,-0.0850538488233975
Kiribati,-0.0024233613631136934,0.0,0.011335309822434029,0.0,-0.013758671185547723
Aruba,-0.0019074933443536622,4.1224868092655245e-05,-0.0008844314887314727,0.0,-0.0010642867237148448
French Polynesia,-0.0016094757763520052,0.0,-0.0009185109231164629,1.4326748972566146e-05,-0.0007052916022081085
St. Vincent & Grenadines,-0.001525349406658754,0.00032606483943792183,-0.0016239497792778473,0.0,-0.0002274644668188285
St. Kitts and Nevis,-0.0004957791050617697,0.0004300746932851953,-0.00095158885093881,2.573505259184501e-05,0.0
Togo,-0.0004497588766755049,0.0,-9.553153964601733e-05,0.0,-0.0003542273370294876
Bahrain,-0.00043754538686448946,1.806424406481129e-05,-0.0004025147638815957,1.5656962224422812e-06,-5.4660563270147276e-05
Barbados,-0.0004062512326828696,0.0,-0.0004062512326828696,0.0,0.0
Dominica,-0.00011111222208013105,0.0,-0.00011111222208013105,0.0,0.0
Egypt,-2.5821369345172186e-05,9.91937896314848e-05,6.323220207199224e-05,0.00013869554086691857,-0.0003269429019155679
Tuvalu,0.0007117241961410646,0.0,0.0007117241961410646,0.0,0.0
Maldives,0.0014377774775406907,0.0004614929753059178,0.0010371636959944537,0.0,-6.0879193759680905e-05
Sao Tome & Principe,0.0026957189788944526,2.3768909423228252e-05,0.002671950069471224,0.0,0.0
Comoros,0.0035100267527433996,0.0019013056681936528,0.0015655932186858937,4.312786586385341e-05,0.0
Congo,0.009526863562151005,0.04850361818398006,-0.04197302437492076,0.0029962697530917055,0.0
South Africa,0.010355377845692784,0.014752079203729075,0.001925218794396158,0.004258890518829647,-0.010580810671262087
Angola,0.011997460631378715,0.850713285764898,0.18885724919364266,0.028888150135882543,-1.0564612244630447
Mauritius,0.03867594472494055,0.009501019279419824,0.019489014874272032,0.00968591057124869,0.0
Japan,0.05034814456185389,0.018916524933598775,0.06520163435186306,0.000997765604169226,-0.034767780327777165
Papua New Guinea,0.19223585220923536,11.576158623961215,5.940126077825574,1.2709536481308314,-18.595002497708386
Ecuador,0.39906713131433197,3.334709462221707,1.1216387105021188,0.7002698198736028,-4.757550861283097
Brunei Darussalam,0.4534000964389332,0.12999817754193685,0.30474307042578885,0.0186588484712076,0.0
Viet Nam,0.5497590530640867,3.1092983848106965,0.9958692682285644,0.7916851300479444,-4.347093730023119
Guatemala,0.6100372888133504,0.911539157406422,-0.28010377521895374,0.0679190875063566,-0.0893171808804746
Myanmar,0.7666325048978986,7.461492276184996,5.172047768105344,2.4223897049144236,-14.289297244306866
"Tanzania, United Rep",0.7866244709071407,1.750654685800987,0.5212443597139357,0.21267650672596597,-1.697951081333748
Panama,1.1180745419788682,4.635434124972689,0.6055391915511281,0.45017497236063675,-4.573073746905585
Guinea-Bissau,2.298383262289132,1.2893149239660862,4.781023711571416,0.5023139347354761,-4.274269307983847
Costa Rica,3.6644472066993488,0.8132815400413244,1.626521652395528,0.1782754132956442,1.0463686009668527
Gabon,4.820760423684629,7.478441483261562,4.615451440246607,0.010949257580437875,-7.284081757403977
Guinea,5.464408671901029,4.187901008476388,2.979498957963409,0.7226460122598406,-2.4256373067986092
Madagascar,6.003973556469276,2.485520427702936,4.9366367428892115,0.4011932247489887,-1.8193768388718607
French Guiana,6.2028889342872935,2.4397009659511744,3.8872589351965825,0.8340681186160283,-0.9581390854764931
Suriname,12.355899173099953,3.2683856500579616,0.24178525763292347,0.7487095069472703,8.097018758461795
Guyana,26.959750866782926,0.9517299068218569,-0.3526792686617201,0.3195184870208929,26.0411817416019
Brazil,27.64926871012921,27.328232946995218,1.0034157466514066,4.65497653402312,-5.3373565175405275
Australia,45.760582607540314,10.820513864328134,-6.018793186621864,1.7673403008028483,39.19152162903119
