Source,Study_ID,Publication_status,ISO3,Country_Territory,Longitude_decimal_degrees,Latitude_decimal_degrees,Biogeographic_region,Coastal_typology,Mean_diameter_cm,Mean_canopy_heigth_m,Stand_basal_area_m2.ha,Stand_density_stems.ha,Aboveground_biomass_Mg.ha,Number_of_species_in_plot,Notes
Agraz-Hern???dez et al. 2011,46_6,Published,MEX,Mexico,-96.39,19.57269,Atlantic East Pacific,III Tidal system,24,13,17,376,119.12,1,
Agraz-Hern???dez et al. 2011,46_7,Published,MEX,Mexico,-96.3854,19.59128,Atlantic East Pacific,III Tidal system,14.31,4.5,2.3,143,5.58,1,
Agraz-Hern???dez et al. 2011,46_8,Published,MEX,Mexico,-96.3863,19.59023,Atlantic East Pacific,III Tidal system,18.34,11,18.8,712,111.47,3,
Agraz-Hern???dez et al. 2015,1007,Published,MEX,Mexico,-91.598519,18.71726667,Atlantic East Pacific,IV Lagoon,14.8,6.6,24,1400,85.38,NA,
Agudelo et al. 2015,1008_1,Published,COL,Colombia,-75.820731,9.39465833,Atlantic East Pacific,II Small delta,10.1,8.67,17.55,1676,82.02,NA,
Agudelo et al. 2015,1008_2,Published,COL,Colombia,-75.820731,9.39465833,Atlantic East Pacific,II Small delta,10.72,9.27,13.63,1230,68.09,NA,
Agudelo et al. 2015,1008_3,Published,COL,Colombia,-75.820731,9.39465833,Atlantic East Pacific,II Small delta,11.53,8.43,12.5,2736,56.78,NA,
Ajonina & Usongo 2001,516,Published,CMR,Cameroon,9.653453,3.641442,Atlantic East Pacific,III Tidal system,NA,25,42.36,1248,570.8,4,
Ajonina 2011; Ajonina et al. 2014a,515_1,Published,GHA,Ghana,-2.764403,5.030326,Atlantic East Pacific,IV Lagoon,10.9,17.82,23.43,2500,225.04,5,
Ajonina 2011; Ajonina et al. 2014a,515_2,Published,GHA,Ghana,-2.764403,5.030326,Atlantic East Pacific,IV Lagoon,8.1,16,15.28,3000,131.77,5,
Ajonina 2011; Ajonina et al. 2014a,515_3,Published,GHA,Ghana,-2.764403,5.030326,Atlantic East Pacific,IV Lagoon,19.8,16.76,69.3,2250,626.03,5,
Ajonina 2011; Ajonina et al. 2014a,515_4,Published,GHA,Ghana,-2.764403,5.030326,Atlantic East Pacific,IV Lagoon,4.3,7.74,8.74,6000,36.46,5,
Ajonina et al. 2014b,513_1,Published,CMR,Cameroon,8.911077,4.479428,Atlantic East Pacific,III Tidal system,NA,52,25.1,3255,505,4,
Ajonina et al. 2014b,513_2,Published,GAB,Gabon,9.617055,0.257697,Atlantic East Pacific,III Tidal system,15,41,24.5,1466,341,6,
Ajonina et al. 2014b,513_3,Published,COG,Republic of Congo,11.242369,-4.011669,Atlantic East Pacific,IV Lagoon,NA,25,18.8,1666,251,2,
Ajonina et al. 2014b,513_4,Published,COD,Democratic Republic of the Congo,12.441183,-5.996949,Atlantic East Pacific,I Large river,NA,27,24.5,1266,409,2,
Ajonina et al. 2014c,524,Published,BEN,Benin,1.977576,6.313996,Atlantic East Pacific,IV Lagoon,8.5,10.7,10.14,1416,35.07,NA,
Alavaisha & Mangora 2016,522_1,Published,MDG,Madagascar,39.067921,-5.228904,Indo West Pacific,IV Lagoon,NA,NA,NA,NA,114.33,6,
Alavaisha & Mangora 2016,522_2,Published,MDG,Madagascar,39.067921,-5.228904,Indo West Pacific,IV Lagoon,NA,NA,NA,NA,213.81,6,
Alavaisha & Mangora 2016,522_3,Published,MDG,Madagascar,39.067921,-5.228904,Indo West Pacific,IV Lagoon,NA,NA,NA,NA,136.79,6,
Alavaisha & Mangora 2016,522_4,Published,MDG,Madagascar,39.120653,-4.981456,Indo West Pacific,IV Lagoon,NA,NA,NA,NA,215.5,6,
Alavaisha & Mangora 2016,522_5,Published,MDG,Madagascar,39.120653,-4.981456,Indo West Pacific,IV Lagoon,NA,NA,NA,NA,349.67,6,
Alavaisha & Mangora 2016,522_6,Published,MDG,Madagascar,39.120653,-4.981456,Indo West Pacific,IV Lagoon,NA,NA,NA,NA,207.29,6,
Allen et al. 2000,3057_1,Published,FSM,Micronesia,162.979481,5.276668,Indo West Pacific,II Small delta,9.3,7.7,27.4,1444,113.72,3,
Allen et al. 2000,3057_10,Published,FSM,Micronesia,138.163058,9.518619,Indo West Pacific,II Small delta,21.5,NA,43.9,1071,NA,2,
Allen et al. 2000,3057_2,Published,FSM,Micronesia,162.965418,5.347504,Indo West Pacific,II Small delta,20.7,15.2,32.7,502,267.9,3,
Allen et al. 2000,3057_3,Published,FSM,Micronesia,162.963162,5.282642,Indo West Pacific,II Small delta,21.8,12.5,36.1,443,243.22,3,
Allen et al. 2000,3057_4,Published,FSM,Micronesia,162.946471,5.327724,Indo West Pacific,II Small delta,25.3,14.2,36.4,454,278.6,3,
Allen et al. 2000,3057_5,Published,FSM,Micronesia,158.302058,6.874493,Indo West Pacific,II Small delta,17.9,16.6,49.5,604,442.9,4,
Allen et al. 2000,3057_6,Published,FSM,Micronesia,158.302058,6.874493,Indo West Pacific,II Small delta,26.2,18.7,59.7,800,601.73,3,
Allen et al. 2000,3057_7,Published,FSM,Micronesia,158.302058,6.874493,Indo West Pacific,II Small delta,22.8,15.9,72.9,1481,624.76,3,
Allen et al. 2000,3057_8,Published,FSM,Micronesia,138.169306,9.528847,Indo West Pacific,II Small delta,25.4,NA,44.2,901,NA,3,
Allen et al. 2000,3057_9,Published,FSM,Micronesia,138.163058,9.518619,Indo West Pacific,II Small delta,19.8,NA,41.3,907,NA,3,
Alongi & Carvalho 2008,93_1,Published,TLS,East Timor,125.785662,-8.507878,Indo West Pacific,II Small delta,10.59,12.8,32,3633,221.5,NA,
Alongi & Carvalho 2008,93_2,Published,TLS,East Timor,125.785662,-8.507878,Indo West Pacific,II Small delta,7.55,10.6,34,7606,194.8,1,
Alongi & Carvalho 2008,93_3,Published,TLS,East Timor,125.785662,-8.507878,Indo West Pacific,II Small delta,4.15,7.3,13,9610,51.1,NA,
Alongi & Dixon 2000,97_1,Published,THA,Thailand,99.163513,10.280689,Indo West Pacific,II Small delta,8.86,19.2,33.3,5402,344.2,1,
Alongi & Dixon 2000,97_2,Published,THA,Thailand,99.164295,10.278293,Indo West Pacific,II Small delta,5.65,2.1,37.7,15067,42,NA,
Alongi & Dixon 2000,97_3,Published,THA,Thailand,99.220037,10.372807,Indo West Pacific,II Small delta,5.78,3.5,34.7,13212,65.4,1,
Alongi & Dixon 2000,97_4,Published,THA,Thailand,99.222342,10.374179,Indo West Pacific,II Small delta,7.69,1.9,44.7,9623,46,1,
Alongi 2011,87_1,Published,AUS,Australia,145.430114,-16.482453,Indo West Pacific,II Small delta,11.86,NA,30.18,2733,NA,1,
Alongi 2011,87_10,Published,AUS,Australia,145.434687,-16.481463,Indo West Pacific,II Small delta,10.39,NA,25.4,3000,NA,1,
Alongi 2011,87_11,Published,AUS,Australia,145.434702,-16.482937,Indo West Pacific,II Small delta,13.63,NA,37.9,2600,NA,1,
Alongi 2011,87_12,Published,AUS,Australia,145.434702,-16.482937,Indo West Pacific,II Small delta,9.81,NA,21.66,2866,NA,1,
Alongi 2011,87_13,Published,AUS,Australia,145.447104,-16.500704,Indo West Pacific,II Small delta,16.41,NA,58.45,2766,NA,1,
Alongi 2011,87_14,Published,AUS,Australia,145.447104,-16.500704,Indo West Pacific,II Small delta,7.12,NA,10.87,2733,NA,1,
Alongi 2011,87_2,Published,AUS,Australia,145.430114,-16.482453,Indo West Pacific,II Small delta,9.46,NA,13.35,1900,NA,1,
Alongi 2011,87_3,Published,AUS,Australia,145.429085,-16.482782,Indo West Pacific,II Small delta,12.63,NA,29.62,2367,NA,1,
Alongi 2011,87_4,Published,AUS,Australia,145.429085,-16.482782,Indo West Pacific,II Small delta,8.71,NA,16.66,2800,NA,1,
Alongi 2011,87_5,Published,AUS,Australia,145.45389,-16.481646,Indo West Pacific,II Small delta,12.51,NA,33.6,2733,NA,1,
Alongi 2011,87_6,Published,AUS,Australia,145.45389,-16.481646,Indo West Pacific,II Small delta,8.29,NA,15.47,2867,NA,1,
Alongi 2011,87_7,Published,AUS,Australia,145.452437,-16.481991,Indo West Pacific,II Small delta,8.5,NA,15.87,2800,NA,1,
Alongi 2011,87_8,Published,AUS,Australia,145.452437,-16.481991,Indo West Pacific,II Small delta,11.35,NA,27.66,2733,NA,1,
Alongi 2011,87_9,Published,AUS,Australia,145.434687,-16.481463,Indo West Pacific,II Small delta,10.98,NA,26.82,2833,NA,1,
Alongi et al. 2004,574_1,Published,MYS,Malaysia,100.617829,4.835044,Indo West Pacific,III Tidal system,27.2,23.9,44.74,770,576,2,
Alongi et al. 2005a; Alongi et al. 2003,88_1,Published,AUS,Australia,116.620156,-20.730325,Indo West Pacific,II Small delta,6.9,10.2,44.85,12000,246.7,1,
Alongi et al. 2005a; Alongi et al. 2003,88_2,Published,AUS,Australia,116.625794,-20.726946,Indo West Pacific,II Small delta,4.9,5,16.84,8933,45.8,1,
Alongi et al. 2005a; Alongi et al. 2003,88_3,Published,AUS,Australia,118.650543,-20.324444,Indo West Pacific,II Small delta,6.8,13.6,38.48,10600,282.8,1,
Alongi et al. 2005a; Alongi et al. 2003,88_4,Published,AUS,Australia,118.651032,-20.32281,Indo West Pacific,II Small delta,8.9,7.9,34.82,5600,147.6,1,
Alongi et al. 2005a; Alongi et al. 2003,88_5,Published,AUS,Australia,114.121801,-22.311786,Indo West Pacific,II Small delta,4.7,12.4,31.21,18000,207.9,1,
Alongi et al. 2005a; Alongi et al. 2003,88_6,Published,AUS,Australia,113.946276,-21.965236,Indo West Pacific,II Small delta,7.2,3.9,43.14,10600,90.5,1,
Alongi et al. 2005b,73_1,Published,CHN,China,117.921261,24.393433,Indo West Pacific,III Tidal system,3.78,4.6,54,48256,133,1,
Alongi et al. 2005b,73_2,Published,CHN,China,117.915697,24.402372,Indo West Pacific,III Tidal system,2.9,1.8,95,143644,93,1,
Alongi et al. 2005b,73_3,Published,CHN,China,117.906386,24.403789,Indo West Pacific,III Tidal system,2.56,0.7,41,79903,16,1,
Alves & Sassi 2003,1012_1,Published,BRA,Brazil,-34.847875,-7.05770833,Atlantic East Pacific,III Tidal system,3.66,3.56,9.43,8988,18.09,NA,
Alves & Sassi 2003,1012_2,Published,BRA,Brazil,-34.847875,-7.05770833,Atlantic East Pacific,III Tidal system,4,3.95,5.7,4538,12.14,NA,
Alves & Sassi 2003,1012_3,Published,BRA,Brazil,-34.847875,-7.05770833,Atlantic East Pacific,III Tidal system,11.16,7.35,14.8,1513,58.63,NA,
Amarasinghe & Balasubramaniam 1992,111_1,Published,LKA,Sri Lanka,79.841142,8.292446,Indo West Pacific,II Small delta,8.41,4.4,19.99,3600,85,1,
Amarasinghe & Balasubramaniam 1992,111_2,Published,LKA,Sri Lanka,79.837098,8.309274,Indo West Pacific,II Small delta,7.79,4.5,13.11,2750,57,1,
Amarasinghe & Balasubramaniam 1992,111_3,Published,LKA,Sri Lanka,79.795976,8.231948,Indo West Pacific,II Small delta,26.4,7.2,43.77,800,240,3,
Amarasinghe & Balasubramaniam 1992,111_4,Published,LKA,Sri Lanka,79.742044,8.162894,Indo West Pacific,II Small delta,29,10.3,29.72,450,193,4,
Amarasinghe & Balasubramaniam 1992,111_5,Published,LKA,Sri Lanka,79.776852,8.189032,Indo West Pacific,II Small delta,16.87,4.3,34.28,1534,172,2,
Amarasinghe & Balasubramaniam 1992,111_6,Published,LKA,Sri Lanka,79.77781,8.27181,Indo West Pacific,II Small delta,8.12,3.9,11.4,2200,71,4,
Andreetta et al. 2016,503_1,Published,GNB,Guinea-Bissau,-16.250822,12.291771,Atlantic East Pacific,III Tidal system,NA,NA,NA,NA,NA,2,
Andreetta et al. 2016,503_2,Published,GNB,Guinea-Bissau,-15.260337,11.924693,Atlantic East Pacific,III Tidal system,NA,NA,NA,NA,NA,2,
Araujo & Santos 1987,1014_1,Published,BRA,Brazil,-48.834167,-28.49388889,Atlantic East Pacific,III Tidal system,15.9,3.9,6.9,350,14.5,NA,
Araujo & Santos 1987,1014_10,Published,BRA,Brazil,-48.834167,-28.49388889,Atlantic East Pacific,III Tidal system,10.1,NA,36.3,4500,NA,NA,
Araujo & Santos 1987,1014_2,Published,BRA,Brazil,-48.834167,-28.49388889,Atlantic East Pacific,III Tidal system,5.1,NA,21.7,10700,NA,NA,
Araujo & Santos 1987,1014_3,Published,BRA,Brazil,-48.834167,-28.49388889,Atlantic East Pacific,III Tidal system,12.5,NA,49.4,4000,NA,NA,
Araujo & Santos 1987,1014_4,Published,BRA,Brazil,-48.834167,-28.49388889,Atlantic East Pacific,III Tidal system,12.1,NA,24.2,2100,NA,NA,
Araujo & Santos 1987,1014_5,Published,BRA,Brazil,-48.834167,-28.49388889,Atlantic East Pacific,III Tidal system,11.4,NA,39.1,3800,NA,NA,
Araujo & Santos 1987,1014_6,Published,BRA,Brazil,-48.834167,-28.49388889,Atlantic East Pacific,III Tidal system,18.2,NA,65,2500,NA,NA,
Araujo & Santos 1987,1014_7,Published,BRA,Brazil,-48.834167,-28.49388889,Atlantic East Pacific,III Tidal system,11.5,NA,20.6,2000,NA,NA,
Araujo & Santos 1987,1014_8,Published,BRA,Brazil,-48.834167,-28.49388889,Atlantic East Pacific,III Tidal system,3.2,NA,4.8,6000,NA,NA,
Araujo & Santos 1987,1014_9,Published,BRA,Brazil,-48.834167,-28.49388889,Atlantic East Pacific,III Tidal system,6.3,NA,12.6,4000,NA,NA,
Ara???o 2002,1015_2,Published,BRA,Brazil,-34.954722,-6.78472222,Atlantic East Pacific,III Tidal system,3.1,3,11.67,8060,18.87,3,
Ara???o e Maciel 1979,1016,Published,BRA,Brazil,-42.984697,-22.70619167,Atlantic East Pacific,IV Lagoon,10.6,9.2,32.91,3700,163.19,2,
Arifanti et al. 2019,3007_1,Published,IDN,Indonesia,117.5248,-0.81252,Indo West Pacific,II Small delta,11.7,7.9,46,4250,195.8,NA,
Arifanti et al. 2019,3007_10,Published,IDN,Indonesia,117.5334,-0.38948,Indo West Pacific,II Small delta,12.1,5.9,97,8479,307.4,NA,
Arifanti et al. 2019,3007_2,Published,IDN,Indonesia,117.5733,-0.73153,Indo West Pacific,II Small delta,8.9,22,24,3892,284.2,NA,
Arifanti et al. 2019,3007_3,Published,IDN,Indonesia,117.5733,-0.73153,Indo West Pacific,II Small delta,12.1,7.2,54,4674,208.4,NA,
Arifanti et al. 2019,3007_4,Published,IDN,Indonesia,117.5314,-0.73268,Indo West Pacific,II Small delta,10.5,13.6,35,4013,256.8,NA,
