Country,AGB_Change,AGB_Change_Grow,AGB_Change_HT,AGB_Change_RES,AGB_Change_SLR
Mexico,-37.2562640309532,14.547259837422413,-8.180345506029768,1.2564217766272199,-44.87960013897306
Cuba,-13.030895969661852,5.621964127275665,-0.6205128130921925,0.22748779854745618,-18.259835082392783
Colombia,-8.265599939407107,6.8867351770801335,-6.913106189968591,0.35929119981376806,-8.598520126332419
Solomon Islands,-6.254019088859654,2.4522868631888155,-2.0610277852828514,0.11962427324839209,-6.76490244001401
Belize,-3.1546917984103318,1.0526237835359242,1.0949111936864397,0.008250627253039924,-5.310477402885736
Fiji,-1.665224385184177,1.436727833024497,-1.680263814790684,0.051580032412484704,-1.4732684358304744
Bahamas,-1.4003634679957833,0.04235796743431315,-0.7771853541395579,0.13899781301865077,-0.8045338943091894
Honduras,-1.0427848253833727,1.7527268346494909,-0.015517048737152275,0.1915503378949831,-2.971544949190694
Mozambique,-0.8488400984991652,3.0629956003458716,-4.5640860253651825,0.678162257882748,-0.025911931362603183
New Caledonia,-0.6189833141424073,0.4188137757687344,-0.07902869148126594,0.026662422758376207,-0.9854308211882521
Jamaica,-0.5466329746942727,0.1771551996510271,-0.35890154286816583,0.0018720330917614775,-0.36675866456889544
Haiti,-0.5289070994700389,0.10878665673692477,-0.2587705966224061,0.014790607839371653,-0.39371376742392916
Dominican Rep,-0.49864828526120725,0.4911793329809994,-0.5108364209700633,0.024626337568568902,-0.5036175348407123
United Kingdom,-0.4375511901753197,0.21067197494995465,-0.17047456616386283,0.055777122377754104,-0.5335257213391656
Puerto Rico,-0.4139853184427424,0.07516073350714617,-0.05593009706067949,0.0010244983730084468,-0.4342404532622175
Guadeloupe,-0.342225357672351,0.07455486556888603,-0.17385893411672737,0.0009966807502360382,-0.2439179698747457
Palau,-0.2862051757948513,0.2748926494194818,-0.07970694848536464,0.006509469629121676,-0.48790034635809026
Cambodia,-0.2760205022510671,1.3052666637744228,-1.1260789751124138,0.08888949105798478,-0.5440976819710615
Sri Lanka,-0.23231265722196232,0.15052374958666687,0.04005701104827546,0.09623333151349724,-0.5191267493704018
Brunei Darussalam,-0.17366840422840182,0.12999817754193685,-0.31746486570840415,0.013798283938065386,0.0
Martinique,-0.07918474132459058,0.060830183698344274,-0.142236963253429,0.002222038230494139,0.0
Vanuatu,-0.052801925676248036,0.05082643511450985,-0.01742988918888397,0.0049599953840361,-0.09115846698591003
Antigua and Barbuda,-0.0503553358081566,0.0018645424319073227,-0.010044389921596425,0.0,-0.0421754883184675
Ghana,-0.04372824255180313,-0.024251235613063065,0.1394445007178564,0.07819731328559916,-0.23711882094219566
Congo,-0.019164035927446237,0.04850361818398006,-0.07032172185986917,0.00265406774844287,0.0
Saudi Arabia,-0.019043280311399274,-0.0007774823808762842,0.0018251570827531901,0.012170585371350847,-0.03226154038462703
"Virgin Islands, U.S.",-0.013683453239765234,0.00012243712950416112,-0.004999667684956409,0.00010043636613198703,-0.008906659050444974
Tonga,-0.011176687769693622,0.0,0.005017198881030799,0.0010063558150844938,-0.017200242465808917
Sudan,-0.009986073646286953,-0.00021876685509633156,-0.0004333397371170029,5.197661519244833e-05,-0.009385943669266067
France,-0.00846083220602171,0.007604100719744226,-0.015630140751952782,0.00041839221183662736,-0.0008531843856497812
Benin,-0.005529154480477988,-0.006782352543972691,0.019789561927789828,0.009275039115158486,-0.027811402979453614
St. Lucia,-0.004427037701977035,4.516788981464561e-05,-0.00450177967469885,2.9574082907169464e-05,0.0
Qatar,-0.0044153694929314705,-4.1459000709249835e-05,-0.003930590177316317,0.0001079011329311188,-0.0005512214478370215
Grenada,-0.0038516436562818154,0.0029261232100507104,-0.0070115518582203,0.0002337849918877744,0.0
Netherlands Antilles,-0.003090141846958652,0.001008670903432178,-0.005106849239086652,0.0010080364886958214,0.0
Hong Kong,-0.002536996575906167,0.0045651241081014525,-0.006976965475524419,7.838419371580409e-05,-0.00020353940219900628
Aruba,-0.0019074933443536622,4.1224868092655245e-05,-0.00023871338283558134,0.0,-0.0017100048296107362
Marshall Islands,-0.0016963918225246799,0.0,-0.0015936381300106523,0.0,-0.00010275369251402743
