Dataset,Total_AGB_Pg_DM,Mean_AGB_Mg_DM_ha
GB_RSHeight_WorldClim_Potapov,1.6286827452098707,111.1071673450393
GB_Cyclone_50km_WorldClim_Potapov,1.7906659372989444,122.15750460897664
GB_Cyclone_100km_WorldClim_Potapov,1.7787906776137918,121.34738583723633
