Lat,Lon,Dataset
-23.96666667,-46.25,Rovai et al. only
-23.91666667,-46.283333,Rovai et al. only
-23.91666667,-46.283333,Rovai et al. only
-23.9,-46.283333,Rovai et al. only
-23.9,-46.283333,Rovai et al. only
-23.9,-46.3,Rovai et al. only
25.17313056,-112.131028,Rovai et al. only
25.20728333,-112.114256,Rovai et al. only
25.25635,-112.124669,Rovai et al. only
25.35700556,-112.079017,Rovai et al. only
25.37,-81.050556,Rovai et al. only
25.37,-81.050556,Rovai et al. only
25.37,-81.050556,Rovai et al. only
25.37,-81.050556,Rovai et al. only
24.394597,117.912386,Rovai et al. only
22.516633,114.080802,Rovai et al. only
1.594964,124.846009,Rovai et al. only
1.594964,124.846009,Rovai et al. only
1.594964,124.846009,Rovai et al. only
7.854017,98.387378,Rovai et al. only
-8.35632222,-34.975511,Rovai et al. only
-8.35632222,-34.975511,Rovai et al. only
-8.35632222,-34.975511,Rovai et al. only
-8.35632222,-34.975511,Rovai et al. only
-8.35632222,-34.975511,Rovai et al. only
-27.56666667,-48.5,Rovai et al. only
-27.55,-48.5,Rovai et al. only
-27.55,-48.5,Rovai et al. only
-27.46666667,-48.516667,Rovai et al. only
-27.46666667,-48.516667,Rovai et al. only
-27.46666667,-48.516667,Rovai et al. only
-27.46666667,-48.516667,Rovai et al. only
-27.46666667,-48.516667,Rovai et al. only
-27.46666667,-48.516667,Rovai et al. only
-27.46666667,-48.516667,Rovai et al. only
-27.56666667,-48.5,Rovai et al. only
-27.56666667,-48.5,Rovai et al. only
-27.56666667,-48.5,Rovai et al. only
-27.56666667,-48.5,Rovai et al. only
-27.65,-48.516667,Rovai et al. only
-27.65,-48.516667,Rovai et al. only
-27.65,-48.516667,Rovai et al. only
-27.65,-48.516667,Rovai et al. only
18.08319722,-67.899369,Rovai et al. only
-38.237233,145.292208,Rovai et al. only
-18.386375,146.182901,Rovai et al. only
-25.06292222,-47.945653,Rovai et al. only
-25.06292222,-47.945653,Rovai et al. only
-25.06292222,-47.945653,Rovai et al. only
-25.06292222,-47.945653,Rovai et al. only
-25.06292222,-47.945653,Rovai et al. only
-25.06292222,-47.945653,Rovai et al. only
-25.06292222,-47.945653,Rovai et al. only
-25.06292222,-47.945653,Rovai et al. only
-25.06292222,-47.945653,Rovai et al. only
-25.06292222,-47.945653,Rovai et al. only
-25.06292222,-47.945653,Rovai et al. only
-25.06292222,-47.945653,Rovai et al. only
-25.06292222,-47.945653,Rovai et al. only
-25.06292222,-47.945653,Rovai et al. only
-25.06292222,-47.945653,Rovai et al. only
-25.06292222,-47.945653,Rovai et al. only
-25.06292222,-47.945653,Rovai et al. only
-25.06292222,-47.945653,Rovai et al. only
-25.06292222,-47.945653,Rovai et al. only
-25.06292222,-47.945653,Rovai et al. only
-25.06292222,-47.945653,Rovai et al. only
-25.06292222,-47.945653,Rovai et al. only
-25.06292222,-47.945653,Rovai et al. only
-25.06292222,-47.945653,Rovai et al. only
-25.06292222,-47.945653,Rovai et al. only
-25.06292222,-47.945653,Rovai et al. only
-25.06292222,-47.945653,Rovai et al. only
-25.06292222,-47.945653,Rovai et al. only
-25.06292222,-47.945653,Rovai et al. only
-25.06292222,-47.945653,Rovai et al. only
-25.06292222,-47.945653,Rovai et al. only
-25.06292222,-47.945653,Rovai et al. only
-25.06292222,-47.945653,Rovai et al. only
-25.06292222,-47.945653,Rovai et al. only
-25.06292222,-47.945653,Rovai et al. only
-25.06292222,-47.945653,Rovai et al. only
-25.06292222,-47.945653,Rovai et al. only
-25.06292222,-47.945653,Rovai et al. only
-25.06292222,-47.945653,Rovai et al. only
-25.06292222,-47.945653,Rovai et al. only
-25.06292222,-47.945653,Rovai et al. only
-25.06292222,-47.945653,Rovai et al. only
-25.06292222,-47.945653,Rovai et al. only
-25.06292222,-47.945653,Rovai et al. only
-25.06292222,-47.945653,Rovai et al. only
-25.06292222,-47.945653,Rovai et al. only
-25.06292222,-47.945653,Rovai et al. only
-25.06292222,-47.945653,Rovai et al. only
-25.06292222,-47.945653,Rovai et al. only
-25.06292222,-47.945653,Rovai et al. only
-25.06292222,-47.945653,Rovai et al. only
-25.06292222,-47.945653,Rovai et al. only
-25.06292222,-47.945653,Rovai et al. only
-25.06292222,-47.945653,Rovai et al. only
-25.06292222,-47.945653,Rovai et al. only
-25.06292222,-47.945653,Rovai et al. only
-25.06292222,-47.945653,Rovai et al. only
-25.06292222,-47.945653,Rovai et al. only
-23.81861111,-46.151944,Rovai et al. only
-23.775,-45.968889,Rovai et al. only
-23.75361111,-45.895,Rovai et al. only
-23.48944444,-45.165278,Rovai et al. only
-23.41583333,-45.052778,Rovai et al. only
-23.40731111,-45.013056,Rovai et al. only
-23.33833333,-44.883889,Rovai et al. only
-23.91305556,-46.410556,Rovai et al. only
18.647184,-91.758113,Rovai et al. only
18.647184,-91.758113,Rovai et al. only
25.180938,-80.698789,Rovai et al. only
25.180938,-80.698789,Rovai et al. only
25.180938,-80.698789,Rovai et al. only
18.603491,-91.978886,Rovai et al. only
-5.10336389,-36.493925,Rovai et al. only
-6.78,-34.957778,Rovai et al. only
-6.78,-34.957778,Rovai et al. only
-25.55729167,-48.415081,Rovai et al. only
-25.55729167,-48.415081,Rovai et al. only
-25.55729167,-48.415081,Rovai et al. only
-25.55729167,-48.415081,Rovai et al. only
-25.55729167,-48.415081,Rovai et al. only
-25.55729167,-48.415081,Rovai et al. only
21.45441667,-157.766756,Rovai et al. only
-0.93472222,-46.669167,Rovai et al. only
-26.2,-48.75,Rovai et al. only
-26.2,-48.75,Rovai et al. only
-26.2,-48.75,Rovai et al. only
-26.2,-48.75,Rovai et al. only
-26.2,-48.75,Rovai et al. only
-26.2,-48.75,Rovai et al. only
-26.2,-48.75,Rovai et al. only
-26.2,-48.75,Rovai et al. only
-26.2,-48.75,Rovai et al. only
-26.2,-48.75,Rovai et al. only
-26.2,-48.75,Rovai et al. only
-26.2,-48.75,Rovai et al. only
-26.2,-48.75,Rovai et al. only
-26.2,-48.75,Rovai et al. only
-26.2,-48.75,Rovai et al. only
-26.2,-48.75,Rovai et al. only
-26.2,-48.75,Rovai et al. only
-26.2,-48.75,Rovai et al. only
-26.2,-48.75,Rovai et al. only
-26.2,-48.75,Rovai et al. only
-26.2,-48.75,Rovai et al. only
-26.2,-48.75,Rovai et al. only
-26.2,-48.75,Rovai et al. only
-26.2,-48.75,Rovai et al. only
-26.2,-48.75,Rovai et al. only
-26.2,-48.75,Rovai et al. only
-26.2,-48.75,Rovai et al. only
-26.2,-48.75,Rovai et al. only
-26.2,-48.75,Rovai et al. only
-26.2,-48.75,Rovai et al. only
-26.2,-48.75,Rovai et al. only
-26.2,-48.75,Rovai et al. only
-26.2,-48.75,Rovai et al. only
-26.2,-48.75,Rovai et al. only
-26.2,-48.75,Rovai et al. only
-26.2,-48.75,Rovai et al. only
-26.2,-48.75,Rovai et al. only
-25.04833333,-47.950833,Rovai et al. only
-25.04833333,-47.950833,Rovai et al. only
-25.04833333,-47.950833,Rovai et al. only
-25.04833333,-47.950833,Rovai et al. only
-25.04833333,-47.950833,Rovai et al. only
-25.04833333,-47.950833,Rovai et al. only
-25.04833333,-47.950833,Rovai et al. only
-25.04833333,-47.950833,Rovai et al. only
-25.04833333,-47.950833,Rovai et al. only
-25.04833333,-47.950833,Rovai et al. only
-25.04833333,-47.950833,Rovai et al. only
-25.04833333,-47.950833,Rovai et al. only
-25.04833333,-47.950833,Rovai et al. only
-25.04833333,-47.950833,Rovai et al. only
-25.04833333,-47.950833,Rovai et al. only
-25.04833333,-47.950833,Rovai et al. only
-25.04833333,-47.950833,Rovai et al. only
-25.04833333,-47.950833,Rovai et al. only
-25.04833333,-47.950833,Rovai et al. only
-25.04833333,-47.950833,Rovai et al. only
-25.04833333,-47.950833,Rovai et al. only
-25.04833333,-47.950833,Rovai et al. only
-25.04833333,-47.950833,Rovai et al. only
-25.04833333,-47.950833,Rovai et al. only
-25.04833333,-47.950833,Rovai et al. only
-25.04833333,-47.950833,Rovai et al. only
-25.04833333,-47.950833,Rovai et al. only
-25.04833333,-47.950833,Rovai et al. only
-25.04833333,-47.950833,Rovai et al. only
-25.04833333,-47.950833,Rovai et al. only
-25.04833333,-47.950833,Rovai et al. only
-25.04833333,-47.950833,Rovai et al. only
-25.04833333,-47.950833,Rovai et al. only
-25.04833333,-47.950833,Rovai et al. only
-25.04833333,-47.950833,Rovai et al. only
-3.370578,39.960472,Rovai et al. only
7.515929,79.810792,Rovai et al. only
27.68333333,-82.516667,Rovai et al. only
27.68333333,-82.516667,Rovai et al. only
18.647184,-91.758113,Rovai et al. only
18.484017,-91.789471,Rovai et al. only
18.647184,-91.758113,Rovai et al. only
18.647184,-91.758113,Rovai et al. only
18.647184,-91.758113,Rovai et al. only
18.647184,-91.758113,Rovai et al. only
6.05469,80.846879,Rovai et al. only
6.05469,80.846879,Rovai et al. only
6.05469,80.846879,Rovai et al. only
6.05469,80.846879,Rovai et al. only
13.733711,121.056839,Rovai et al. only
-2.88823611,-41.684564,Rovai et al. only
21.735948,72.248979,Rovai et al. only
21.058417,72.789723,Rovai et al. only
20.955342,72.831081,Rovai et al. only
21.740553,72.538016,Rovai et al. only
26.27898333,-111.394081,Rovai et al. only
26.27898333,-111.394081,Rovai et al. only
28.718291,-80.740427,Rovai et al. only
28.718291,-80.740427,Rovai et al. only
22.492523,114.029883,Rovai et al. only
22.492523,114.029883,Rovai et al. only
22.492523,114.029883,Rovai et al. only
22.492523,114.029883,Rovai et al. only
22.492523,114.029883,Rovai et al. only
22.492523,114.029883,Rovai et al. only
22.492523,114.029883,Rovai et al. only
