Tavg,Tmin,Pavg,Pmin,Srad,VPD,PET,Cyclone,Runoff,TidalRange,Dist2Coast,Salinity,SeaTemp,DEM,Slope,Pop,Height
26.4875,19.0,1445.0,28.0,17756,0.8138072,1901.35,0.86,1089.427001953125,0.444546406170537,661.0079956,34.75980623673585,27.22061951003467,7,2.355623245239258,3.5924985,9
27.504168,22.9,1398.0,1.0,17824,0.7875786,2008.7943,0.6,719.8737182617188,2.39553296084391,1324.0799561,31.11168471272892,28.620833830039853,4,0.4367262125015259,287.87137,8.88
18.258333,5.1,1528.0,37.0,14484,0.44525135,866.8438,1.62,495.6791076660156,0.0,4609.8901367,29.49713530693461,21.37649004370201,11,9.685178756713867,169.46216,1.71
26.466667,22.1,2605.0,118.0,18425,0.61421233,1842.4923,0.0,1201.864013671875,2.5,12.5879002,33.64302290495672,29.45599814868717,6,1.7258232831954956,157.14842,9.5
26.9125,20.0,1274.0,35.0,18465,0.8471671,1370.0197,0.96,6.613067150115967,0.177630446782819,-32.5996017,36.01214934487059,28.11660957486629,5,0.3452648818492889,11.292452,3.5
26.95,22.8,2321.0,8.0,17528,0.5785612,1754.8638,0.44,719.8737182617188,1.44474748508099,1741.1099854,30.107099284011767,28.9885876008474,3,0.8734017014503479,109.9383,13.6
27.154167,22.0,1433.0,1.0,17894,0.75650245,1268.861,0.64,322.9974060058594,2.33458741032999,1332.1800537,29.89656777998045,28.33945098985765,4,1.4190974235534668,163.98697,15.4
26.804167,14.7,1537.0,7.0,18378,1.0778424,1202.1724,2.42,296.0495910644531,1.61946025530447,-366.4079895,30.40103433130923,28.096408684136254,64,7.712043762207031,276.6357,3
17.320833,6.4,990.0,53.0,16694,0.59278893,931.8298,0.02,250.9239959716797,1.22291470588235,1282.8100586,35.543005891317414,20.62905942517069,0,8.775286674499512,633.27936,0
27.583334,22.4,1814.0,2.0,17499,0.80939364,2096.702,0.42,719.8737182617188,1.05320963488844,99.1626968,32.38001966818015,28.69542908398576,1,0.4632169902324676,58.84917,9.5
23.558332,15.8,1236.0,53.0,15574,0.52191585,1593.173,0.02,171.4261016845703,1.09862941176471,-43.915699,36.9194545206211,25.4602584417868,-1,0.6366184949874878,170.19438,4.4
22.629166,10.9,1982.0,37.0,13727,0.68098253,899.2965,2.4,761.181884765625,0.0,-200.5279999,32.14374679103725,25.023123931153595,9,0.244140625,5031.792,5.75
25.625,17.3,1040.0,23.0,18112,0.64907795,1417.5403,0.98,6.613067150115967,0.178405037088149,-280.6069946,36.01977874005476,28.07088696987992,9,0.308815062046051,0.010686349,8.5
28.579166,21.0,1265.0,13.0,20428,1.113084,2139.4492,0.76,248.08169555664065,0.704247222701397,179.2369995,33.28591125026829,28.924188249027445,1,0.5459018349647522,570.43744,2.46
26.954166,20.6,1170.0,7.0,20648,0.7778039,2045.3639,0.46,549.5191040039062,2.04795882352941,237.4080048,32.99915793163467,28.608305165224927,6,0.6990818977355957,22.146961,5.71
27.504166,20.9,3459.0,13.0,18073,0.819962,1145.2026,0.16,2009.18798828125,1.06221446839605,3361.6000977,31.015904458499964,29.200653937902445,2,0.9886020421981812,101.41218,9.2
26.683332,16.2,1428.0,9.0,18197,0.76808006,1202.1724,2.38,296.0495910644531,1.58374007245127,518.8809814,30.531760953712627,28.16535925903262,5,0.6641085743904114,403.21414,1
26.258333,13.3,1983.0,10.0,17804,0.73571223,1119.8074,1.68,932.0302124023438,0.0,17624.6992188,22.445868751991675,27.8348765329584,6,0.794818103313446,165.4042,10.9
27.583334,22.4,1814.0,2.0,17499,0.80939364,2096.702,0.42,719.8737182617188,1.05320963488844,99.1626968,32.38001966818015,28.69542908398576,1,0.4632169902324676,58.84917,14.3
26.770834,19.2,1478.0,24.0,17937,0.8647426,2268.217,0.78,1363.18798828125,0.460796999831451,197.0650024,33.80664894411761,27.55517907113554,9,1.3145147562026978,3.2656662,0
26.870834,21.0,3295.0,23.0,18454,0.6698032,1870.6986,0.3,750.3220825195312,2.13108529411765,182.4530029,31.977256726341505,29.262305571094487,16,0.9327832460403442,54.654892,19
23.804167,13.3,1261.0,38.0,17878,0.7842559,1938.4958,0.84,126.34729766845705,1.01872647058824,502.0090027,36.28115769277713,26.21343290715672,4,1.0299257040023804,34.018707,1.5
26.9875,21.1,3290.0,23.0,18462,0.6802139,1870.6986,0.3,750.3220825195312,2.13241764705882,126.7929993,31.977256726341505,29.262305571094487,12,0.154408648610115,54.631836,17
19.404167,11.3,1846.0,88.0,12892,0.4112551,1301.2328,0.0,839.6517944335938,1.2,1160.4599609,35.51631534149051,22.949203286852345,127,14.806062698364258,3.173906,3.13
26.4875,19.0,1445.0,28.0,17756,0.8138072,1901.35,0.86,1089.427001953125,0.444546406170537,661.0079956,34.75980623673585,27.22061951003467,7,2.355623245239258,3.5924985,9
26.858334,22.7,2290.0,7.0,17553,0.5643201,1995.0734,0.46,1180.6629638671875,2.32276676729343,1431.7800293,30.014365010132828,28.916303034457773,2,0.5459018349647522,109.9189,0
26.870834,21.0,3295.0,23.0,18454,0.6698032,1870.6986,0.3,750.3220825195312,2.13108529411765,293.7720032,31.977256726341505,29.262305571094487,14,1.2446894645690918,54.654892,20
26.954166,20.6,1170.0,7.0,20648,0.7778039,2045.3639,0.46,549.5191040039062,2.04795882352941,237.4080048,32.99915793163467,28.608305165224927,6,0.6990818977355957,22.146961,5
26.9875,21.1,3290.0,23.0,18462,0.6802139,1870.6986,0.3,750.3220825195312,2.13451764705882,126.7929993,31.977256726341505,29.262305571094487,14,1.220525860786438,54.631836,19
